cog_name,type,count
g__Enterococcus_silix_COG_806,core,690
g__Enterococcus_silix_COG_888,core,690
g__Enterococcus_silix_COG_1711,core,690
g__Enterococcus_silix_COG_2765,core,690
g__Enterococcus_silix_COG_387,core,690
g__Enterococcus_silix_COG_204,core,690
g__Enterococcus_silix_COG_1540,core,690
g__Enterococcus_silix_COG_3597,core,690
g__Enterococcus_silix_COG_551,core,690
g__Enterococcus_silix_COG_135,core,690
g__Enterococcus_silix_COG_1386,core,690
g__Enterococcus_silix_COG_3804,core,690
g__Enterococcus_silix_COG_1203,core,690
g__Enterococcus_silix_COG_1703,core,690
g__Enterococcus_silix_COG_1197,core,690
g__Enterococcus_silix_COG_1231,core,690
g__Enterococcus_silix_COG_539,core,690
g__Enterococcus_silix_COG_814,core,690
g__Enterococcus_silix_COG_1995,core,690
g__Enterococcus_silix_COG_606,core,690
g__Enterococcus_silix_COG_1481,core,690
g__Enterococcus_silix_COG_1771,core,690
g__Enterococcus_silix_COG_1772,core,690
g__Enterococcus_silix_COG_1411,core,690
g__Enterococcus_silix_COG_596,core,690
g__Enterococcus_silix_COG_4049,core,690
g__Enterococcus_silix_COG_3737,core,690
g__Enterococcus_silix_COG_5534,core,690
g__Enterococcus_silix_COG_418,core,690
g__Enterococcus_silix_COG_232,core,690
g__Enterococcus_silix_COG_823,core,690
g__Enterococcus_silix_COG_1784,core,690
g__Enterococcus_silix_COG_1063,core,690
g__Enterococcus_silix_COG_119,core,690
g__Enterococcus_silix_COG_3823,core,690
g__Enterococcus_silix_COG_4452,core,690
g__Enterococcus_silix_COG_1062,core,690
g__Enterococcus_silix_COG_263,core,690
g__Enterococcus_silix_COG_520,core,690
g__Enterococcus_silix_COG_227,core,690
g__Enterococcus_silix_COG_106,core,690
g__Enterococcus_silix_COG_637,core,690
g__Enterococcus_silix_COG_427,core,690
g__Enterococcus_silix_COG_299,core,690
g__Enterococcus_silix_COG_1749,core,690
g__Enterococcus_silix_COG_160,core,690
g__Enterococcus_silix_COG_359,core,690
g__Enterococcus_silix_COG_652,core,690
g__Enterococcus_silix_COG_2783,core,690
g__Enterococcus_silix_COG_5380,core,690
g__Enterococcus_silix_COG_5239,core,690
g__Enterococcus_silix_COG_1309,core,690
g__Enterococcus_silix_COG_208,core,690
g__Enterococcus_silix_COG_1800,core,690
g__Enterococcus_silix_COG_3703,core,690
g__Enterococcus_silix_COG_941,core,690
g__Enterococcus_silix_COG_974,core,690
g__Enterococcus_silix_COG_6992,core,690
g__Enterococcus_silix_COG_923,core,690
g__Enterococcus_silix_COG_1695,core,690
g__Enterococcus_silix_COG_391,core,690
